id,urlkey,article_title,image_url,image_alt,article_url,bw_ratio
16,"edu,stanford,cs)/academics/academics-bachelors-program",Academics | Bachelor's Program | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/dsc05051-min_0.jpg?h=790be497&itok=KQS6j4ru,,https://www.cs.stanford.edu/academics/academics-bachelors-program,0.1155950138504155
17,"edu,stanford,cs)/admissions",Admissions | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/breakpoint_2xl_2x/public/media/image/balloon-welcome2023_0.jpg?itok=Uzvp9R_o,"Welcome Day balloons forming the word ""Welcome"" on lawn",https://www.cs.stanford.edu/admissions,0.0117419550668514
18,"edu,stanford,cs)/admissions",Admissions | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/stanford_circle/public/media/image/navah_spotlightphoto_0_1.png?itok=bT94XLSW,,https://www.cs.stanford.edu/admissions,0.2361734693877551
19,"edu,stanford,cs)/admissions/current-stanford-students",Current Stanford Students | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/dsc02133-001_0.jpg?h=14ba7c0b&itok=FnQHgdYm,,https://www.cs.stanford.edu/admissions/current-stanford-students,0.039962326869806
20,"edu,stanford,cs)/admissions/current-stanford-students",Current Stanford Students | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/dsc02863-min_0.jpg?h=790be497&itok=eu5z-TEv,,https://www.cs.stanford.edu/admissions/current-stanford-students,0.0585573407202216
21,"edu,stanford,cs)/events/affiliates-events/2024-annual-affiliate-meeting",2024 Annual Affiliate Meeting | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/medium_square/public/media/image/graphic_eventbrite_1.jpg?h=c855054e&itok=ynk85eJA,graphic eventbrite,https://www.cs.stanford.edu/events/affiliates-events/2024-annual-affiliate-meeting,0.0007024793388429
22,"edu,stanford,cs)/events/affiliates-events/computer-forum-affiliates-meeting-2023",Computer Forum Affiliates Meeting 2023 | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/medium_square/public/media/image/screenshot_2023-05-09_at_2.13.42_pm_0.png?h=b11bc4f1&itok=EGFle723,,https://www.cs.stanford.edu/events/affiliates-events/computer-forum-affiliates-meeting-2023,0.0143801652892562
23,"edu,stanford,cs)/events/affiliates-events/day-1-ai-safety-workshop",Day 1: AI Safety Workshop | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/responsive_large/public/media/image/screenshot_2023-09-29_at_2.13.34_pm_0.png?itok=FZ6tIsPS,,https://www.cs.stanford.edu/events/affiliates-events/day-1-ai-safety-workshop,0.624949339385588
24,"edu,stanford,cs)/events/affiliates-events/day-3-sdsi-workshop-0",Day 3: SDSI Workshop | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/responsive_large/public/media/image/screenshot_2023-09-29_at_2.06.53_pm_0.png?itok=lEV8v-E2,,https://www.cs.stanford.edu/events/affiliates-events/day-3-sdsi-workshop-0,0.9248166856770408
25,"edu,stanford,cs)/events/affiliates-events/stanford-center-ai-safety-annual-meeting",Stanford Center for AI Safety Annual Meeting | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/medium_square/public/media/image/screenshot_2023-05-09_at_1.54.23_pm_0.png?h=e6e7e3fc&itok=aA4MSBvF,,https://www.cs.stanford.edu/events/affiliates-events/stanford-center-ai-safety-annual-meeting,0.0314462809917355
26,"edu,stanford,cs)/events/affiliates-events/stanford-center-ai-safety-annual-meeting",Stanford Center for AI Safety Annual Meeting | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/screenshot_2023-09-08_at_6.05.15_pm_0.png?h=6eaaf1ed&itok=_VeqoUjy,Title card for 2023 Annual Event recap video,https://www.cs.stanford.edu/events/affiliates-events/stanford-center-ai-safety-annual-meeting,0.0467368421052631
27,"edu,stanford,cs)/events/affiliates-events/stanford-data-science-initiative-fall-2017-retreat",Stanford Data Science Initiative Fall 2017 Retreat | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/responsive_large/public/media/image/screenshot_2023-10-02_at_5.14.41_pm_0.png?itok=NvfQgjv2,,https://www.cs.stanford.edu/events/affiliates-events/stanford-data-science-initiative-fall-2017-retreat,0.5747504296279132
28,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/breakpoint_2xl_2x/public/media/image/2022-07-05_stanford_engineering_quad_5_stone_balls_0.jpg?itok=5hU5sjME,2022-07-05 stanford engineering quad with 5 stone balls,https://www.cs.stanford.edu/get-involved/affiliate-programs,0.004067
29,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/dsc09753_0.jpg?h=34bbd072&itok=8pAurgSY,2022-10-13 Computer Forum Fall career fair students with employers,https://www.cs.stanford.edu/get-involved/affiliate-programs,0.0718637119113573
30,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/sail_030819_0105-small_2.jpg?h=987dca1a&itok=2goEtij4,,https://www.cs.stanford.edu/get-involved/affiliate-programs,0.1137274238227146
31,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/card_datascience_1.jpg?h=0c760906&itok=nr0As46r,,https://www.cs.stanford.edu/get-involved/affiliate-programs,0.0
32,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/card_safe_0.jpg?h=0c760906&itok=0EucQh8U,,https://www.cs.stanford.edu/get-involved/affiliate-programs,0.0359783933518005
33,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/card_centaur_0.jpg?h=0c760906&itok=eROLQmTe,,https://www.cs.stanford.edu/get-involved/affiliate-programs,0.8807257617728532
34,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/card_digitalcurrency_0.jpg?h=0c760906&itok=qdwXt2wW,,https://www.cs.stanford.edu/get-involved/affiliate-programs,0.0070620498614958
35,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/card_aihealthcare_0.jpg?h=0c760906&itok=Un5NUau2,,https://www.cs.stanford.edu/get-involved/affiliate-programs,0.000795567867036
36,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/card_drugdiscovery_0.jpg?h=0c760906&itok=xhqSEfxA,,https://www.cs.stanford.edu/get-involved/affiliate-programs,0.000773407202216
37,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/card_hai_0.jpg?h=0c760906&itok=2EW8W0Z6,,https://www.cs.stanford.edu/get-involved/affiliate-programs,2.4376731301939054e-05
38,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/card_toyota_0.jpg?h=0c760906&itok=jgoxYL82,,https://www.cs.stanford.edu/get-involved/affiliate-programs,0.0435512465373961
39,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/large/public/media/image/dsc01479-001_0_0.jpg?itok=iWuN3wzx,The Stanford computer science corporate relations team stands together behind a table.,https://www.cs.stanford.edu/get-involved/affiliate-programs,0.0058854166666666
40,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/affiliate_event-1_0.jpg?h=d8341181&itok=CMidBAVa,,https://www.cs.stanford.edu/get-involved/affiliate-programs,0.0479684210526315
41,"edu,stanford,cs)/get-involved/affiliate-programs",Affiliate Programs | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/screenshot_2023-05-02_at_2.15.47_pm_0.png?h=63235f14&itok=xlbifg9Q,,https://www.cs.stanford.edu/get-involved/affiliate-programs,0.0077313019390581
42,"edu,stanford,cs)/get-involved?page=1",Get Involved | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/breakpoint_2xl_2x/public/media/image/2022-05-19_dawn_group_shot_0.jpg?itok=WtEECJQs,2022-05-19 DAWN group shot,https://www.cs.stanford.edu/get-involved?page=1,0.0054173333333333
43,"edu,stanford,cs)/get-involved?page=1",Get Involved | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/2023-01-25_spring_undergraduate_career_far_1.jpg?h=9f9b989c&itok=-nD5IyT2,2023-01-25 spring undergraduate career fair one recruiter with two students,https://www.cs.stanford.edu/get-involved?page=1,0.0040886426592797
44,"edu,stanford,cs)/get-involved?page=1",Get Involved | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/poster_session_2_0.jpg?h=225f9f75&itok=JMEsdDt2,,https://www.cs.stanford.edu/get-involved?page=1,0.0340509695290858
45,"edu,stanford,cs)/get-involved?page=1",Get Involved | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/student_robotics_0.jpg?h=5b2ed817&itok=qZJPQh5v,,https://www.cs.stanford.edu/get-involved?page=1,0.1139296398891966
46,"edu,stanford,cs)/get-involved?page=1",Get Involved | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/dsc07077_0.jpg?h=34bbd072&itok=glwiV10K,2022-07-12 Centaur meeting people at table talking,https://www.cs.stanford.edu/get-involved?page=1,0.0127058171745152
47,"edu,stanford,cs)/get-involved?page=1",Get Involved | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/dsc07074_0.jpg?h=34bbd072&itok=tbooorno,2022-07-12 Stanford AI Safety Centaur 3 people at a standing table talking,https://www.cs.stanford.edu/get-involved?page=1,0.0268188365650969
48,"edu,stanford,cs)/get-involved?page=1",Get Involved | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/responsive_large/public/media/image/dsc06520_0.jpg?itok=4NXQqeHS,2022-05-19 DAWN meeting industry panel,https://www.cs.stanford.edu/get-involved?page=1,0.2049835988753514
49,"edu,stanford,cs)/group/manips/index.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/ocean-one-images/main.jpg,ocean-one,https://cs.stanford.edu/group/manips/index.html,4.387747434676039e-06
50,"edu,stanford,cs)/group/manips/index.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/images/HumanAsimoNoBkg.png,Human Centered Robotics Research,https://cs.stanford.edu/group/manips/index.html,0.8860039020160416
51,"edu,stanford,cs)/group/manips/index.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/robots_khatib.jpg,Oussama Khatib,https://cs.stanford.edu/group/manips/index.html,0.0036810856658184
52,"edu,stanford,cs)/group/manips/index.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/images/HumanAsimoNoBkg.png,,https://cs.stanford.edu/group/manips/index.html,0.8860039020160416
53,"edu,stanford,cs)/group/manips/index.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/seminar/pictures/PumaSnooker2-crop.png,,https://cs.stanford.edu/group/manips/index.html,0.0108346749226006
54,"edu,stanford,cs)/group/manips/index.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/teaching/cs225a/pictures/PaintAndHelipad-crop.png,,https://cs.stanford.edu/group/manips/index.html,0.012060681114551
55,"edu,stanford,cs)/group/manips/index.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/images/news/humanoid15.gif,,https://cs.stanford.edu/group/manips/index.html,0.0420054740646258
56,"edu,stanford,cs)/group/manips/index.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/images/news/supraped.jpg,,https://cs.stanford.edu/group/manips/index.html,0.6710147849462366
57,"edu,stanford,cs)/group/manips/index.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/images/news/JackAndHariBFRSmall.jpg,,https://cs.stanford.edu/group/manips/index.html,0.0151700680272108
58,"edu,stanford,cs)/group/manips/index.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/images/news/NYTSamirKwabenaSmall.jpg,,https://cs.stanford.edu/group/manips/index.html,0.0043833333333333
59,"edu,stanford,cs)/group/manips/index.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/images/ok-talk-spectrum.JPG,,https://cs.stanford.edu/group/manips/index.html,0.0988369265683255
60,"edu,stanford,cs)/group/manips/index.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/images/ok-ras-award.jpg,,https://cs.stanford.edu/group/manips/index.html,0.0056333017077798
61,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/khatib/OussamaKhatib_midsize.jpg,,https://cs.stanford.edu/group/manips/people.html,0.0043923611111111
62,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/adrian/adrian_240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.002420060810585
63,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/wesley/wesley_240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.01328125
64,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/william/william_240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.0040625
65,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/chinmay/chinmay_240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.0168229166666666
66,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/bo/bo_snap240.png,,https://cs.stanford.edu/group/manips/people.html,0.0074305555555555
67,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/geraldb/Gerald240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.4338194444444444
68,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/margot/margot_240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.0037847222222222
69,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/hbaker/hbaker-240.png,,https://cs.stanford.edu/group/manips/people.html,0.0199479166666666
70,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/liyao/liyao240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.00234375
71,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/selma/Selma_240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.4042881944444444
72,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/elena/elena_240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.0
73,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/mikael/mikael_snap240.png,,https://cs.stanford.edu/group/manips/people.html,0.0113700564971751
74,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/shameekg/Shameek240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.0080902777777777
75,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/ellenrk7/ellen-240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.0015625
76,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/xyyeh/XiyangXeh240-240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.0064236111111111
77,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/smenon/samir_snap240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.0132986111111111
78,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/shuyunchung/shuyun-240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.0174305555555555
79,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/khansari/mohammad_snap240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.0
80,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/conti/francois-240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.1162152777777777
81,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/jinskwon/jinsung_manips_large.jpg,,https://cs.stanford.edu/group/manips/people.html,0.1300520833333333
82,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/emeld/emel-demircan.JPG,,https://cs.stanford.edu/group/manips/people.html,0.0024839324289873
83,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/taizouy/taizouy240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.0750347222222222
84,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/luis/luis_240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.0224652777777777
85,"edu,stanford,cs)/group/manips/people.html",Stanford Robotics Lab,https://cs.stanford.edu/group/manips/people/torsten/torsten_240x240.jpg,,https://cs.stanford.edu/group/manips/people.html,0.1012673611111111
86,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/all/header.jpg,Stanford Racing Team,https://cs.stanford.edu/group/roadrunner/,0.2734321633602209
87,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/nav/spacer_left.gif,,https://cs.stanford.edu/group/roadrunner/,0.1724137931034483
88,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/nav/team1.gif,TEAM,https://cs.stanford.edu/group/roadrunner/,0.0
89,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/nav/spacer.gif,,https://cs.stanford.edu/group/roadrunner/,0.1724137931034483
90,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/nav/racelog1.gif,RACE LOG,https://cs.stanford.edu/group/roadrunner/,0.0
91,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/nav/sponsors1.gif,SPONSORS,https://cs.stanford.edu/group/roadrunner/,0.2083796811271783
92,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/nav/stanley1.gif,STANLEY,https://cs.stanford.edu/group/roadrunner/,0.0
93,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/nav/media1.gif,MEDIA,https://cs.stanford.edu/group/roadrunner/,0.0
94,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/nav/contact1.gif,CONTACT,https://cs.stanford.edu/group/roadrunner/,0.0
95,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/nav/spacer_right.gif,,https://cs.stanford.edu/group/roadrunner/,0.1724137931034483
96,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/home/2007_darpa_challenge.gif,2007 DARPA Challenge,https://cs.stanford.edu/group/roadrunner/,0.8504298302170643
97,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/home/flag.gif,racing flag,https://cs.stanford.edu/group/roadrunner/,0.7544535387578238
98,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/graphics/junior_NQE_small.jpg,,https://cs.stanford.edu/group/roadrunner/,0.045625
99,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/home/sponsors_two_row.jpg,Sponsors,https://cs.stanford.edu/group/roadrunner/,0.7657316017316017
100,"edu,stanford,cs)/group/roadrunner",DARPA Challenge invites Stanford Racing team to build a robotic car,https://cs.stanford.edu/group/roadrunner/images/home/darpa_challenge.jpg,DARPA Grand Challenge,https://cs.stanford.edu/group/roadrunner/,0.0016985138004246
101,"edu,stanford,cs)/group/roadrunner/sponsors.html",Robot Cars built by Stanford Racing Team,https://cs.stanford.edu/group/roadrunner/images/nav/sponsors2.gif,SPONSORS,https://cs.stanford.edu/group/roadrunner/sponsors.html,0.0
102,"edu,stanford,cs)/group/roadrunner/sponsors.html",Robot Cars built by Stanford Racing Team,https://cs.stanford.edu/group/roadrunner/images/graphics/sponsors_header.gif,Sponsors,https://cs.stanford.edu/group/roadrunner/sponsors.html,0.9603854638337396
103,"edu,stanford,cs)/group/roadrunner/sponsors.html",Robot Cars built by Stanford Racing Team,https://cs.stanford.edu/group/roadrunner/images/graphics/spacer_white_vertical.gif,,https://cs.stanford.edu/group/roadrunner/sponsors.html,1.0
104,"edu,stanford,cs)/group/roadrunner/sponsors.html",Robot Cars built by Stanford Racing Team,https://cs.stanford.edu/group/roadrunner/images/graphics/logo_vw.jpg,VW,https://cs.stanford.edu/group/roadrunner/sponsors.html,0.148356401384083
105,"edu,stanford,cs)/group/roadrunner/sponsors.html",Robot Cars built by Stanford Racing Team,https://cs.stanford.edu/group/roadrunner/images/graphics/logo_mdv.gif,MDV,https://cs.stanford.edu/group/roadrunner/sponsors.html,0.4206284153005464
